# HGNC gene id	# source ID
IK	HGNC
SH2D3A	HGNC
PPIA	HGNC
PLP2	HGNC
SPECC1	HGNC
ACE2	HGNC
DPP4	HGNC
OTUB1	HGNC
BUB1	HGNC
BUB1B	HGNC
MIS12	HGNC
USHBP1	HGNC
AURKB	HGNC
CENPA	HGNC
CENPE	HGNC
CENPF	HGNC
KNTC1	HGNC
MCC	HGNC
TERT	HGNC
TP53	HGNC
ZWILCH	HGNC
CDK1	HGNC
MALAT1	HGNC
MIAT	HGNC
NEAT1	HGNC
TUG1	HGNC
TERC	HGNC
CRP	HGNC
CD4	HGNC
F2	HGNC
F3	HGNC
CSF3	HGNC
GSR	HGNC
MB	HGNC
TNNI3	HGNC
CPSF1	HGNC
KRT5	HGNC
KRT8	HGNC
SFTPC	HGNC
DNAJC3	HGNC
G3BP1	HGNC
RASA1	HGNC
TIA1	HGNC
TIAL1	HGNC
CDC37	HGNC
EIF2AK3	HGNC
EIF2A	HGNC
HSPA8	HGNC
PPP1R15A	HGNC
PPP5C	HGNC
TOP3A	HGNC
ALB	HGNC
CD19	HGNC
FCGR3A	HGNC
FCGR3B	HGNC
IL6	HGNC
NCAM1	HGNC
TMPRSS2	HGNC
CCL3	HGNC
CCL5	HGNC
CXCL1	HGNC
CXCL10	HGNC
CXCL11	HGNC
CXCL2	HGNC
CXCL9	HGNC
CXCR2	HGNC
CXCR3	HGNC
ANGPT2	HGNC
AGTR1	HGNC
AGTR2	HGNC
AGT	HGNC
FURIN	HGNC
IFNG	HGNC
IFITM1	HGNC
IFITM3	HGNC
REN	HGNC
STAT2	HGNC
ANPEP	HGNC
THY1	HGNC
HAVCR1	HGNC
IFNAR1	HGNC
LCN2	HGNC
MMP8	HGNC
EXO1	HGNC
KITLG	HGNC
LIF	HGNC
MX1	HGNC
MYC	HGNC
NANOG	HGNC
POU5F1	HGNC
SOX2	HGNC
CDX2	HGNC
F12	HGNC
ESM1	HGNC
EFNB2	HGNC
ESRRB	HGNC
GRIA1	HGNC
GRIK2	HGNC
GAPDH	HGNC
IFNB1	HGNC
IFIT1	HGNC
IFIH1	HGNC
IRF1	HGNC
IFN1	HGNC
TLR3	HGNC
ZSCAN4	HGNC
FUS	HGNC
G3BP2	HGNC
OGT	HGNC
SH2D3C	HGNC
TARDBP	HGNC
EIF2AK2	HGNC
EIF3B	HGNC
EIF3E	HGNC
EIF3I	HGNC
EIF3J	HGNC
EIF4G1	HGNC
FMR1	HGNC
JTB	HGNC
PABPC1	HGNC
PARG	HGNC
PARP1	HGNC
RACK1	HGNC
RPS6	HGNC
HLA-A	HGNC
HLA-DRB5	HGNC
GRIN2A	HGNC
GRIN2B	HGNC
EP300	HGNC
AGA	HGNC
GTF2I	HGNC
CGA	HGNC
RPL7	HGNC
GABARAP	HGNC
ACTB	HGNC
AIF1	HGNC
APP	HGNC
GFAP	HGNC
MAPT	HGNC
PSEN1	HGNC
TSPO	HGNC
IFITM2	HGNC
TGOLN2	HGNC
IFNA2	HGNC
OLIG1	HGNC
CLEC4M	HGNC
GLI2	HGNC
HSP90AA1	HGNC
HSP90AB1	HGNC
HSP90B1	HGNC
MAGEL2	HGNC
APLP2	HGNC
PSAP	HGNC
GPT	HGNC
LTF	HGNC
TF	HGNC
TFRC	HGNC
ABCA1	HGNC
ADGRE5	HGNC
AHSG	HGNC
APOA1	HGNC
APOA2	HGNC
APOA4	HGNC
APOA5	HGNC
APOB	HGNC
APOC1	HGNC
APOC2	HGNC
APOC3	HGNC
APOC4	HGNC
APOD	HGNC
APOE	HGNC
APOH	HGNC
APOM	HGNC
B2M	HGNC
CETP	HGNC
CLU	HGNC
C4B	HGNC
C4BPA	HGNC
FETUB	HGNC
FGA	HGNC
FGB	HGNC
GPLD1	HGNC
IGHM	HGNC
INS	HGNC
IGFALS	HGNC
ITGB1	HGNC
ITGB3	HGNC
LCAT	HGNC
LIPC	HGNC
LIPG	HGNC
LPL	HGNC
NAPSA	HGNC
PON1	HGNC
PON3	HGNC
PLTP	HGNC
PLG	HGNC
PF4	HGNC
PF4V1	HGNC
PRSS1	HGNC
PPP1CC	HGNC
RBP4	HGNC
SCARB1	HGNC
SAA1	HGNC
SAA2	HGNC
SAA4	HGNC
TFPI	HGNC
AVP	HGNC
MTOR	HGNC
MAPK8	HGNC
SREBF1	HGNC
CD14	HGNC
GNAQ	HGNC
IQGAP3	HGNC
RAD9A	HGNC
RBM47	HGNC
RALGAPA1	HGNC
RIT1	HGNC
STEAP3	HGNC
STN1	HGNC
SUN1	HGNC
CEACAM8	HGNC
ELANE	HGNC
FTH1	HGNC
GUSB	HGNC
GZMB	HGNC
HLTF	HGNC
ITGA5	HGNC
ITGAM	HGNC
IL1B	HGNC
LACC1	HGNC
LAMTOR4	HGNC
LTB4R	HGNC
LYZ	HGNC
MPP1	HGNC
METTL7B	HGNC
MTFMT	HGNC
NCSTN	HGNC
NINJ1	HGNC
PLAC8	HGNC
PTPRC	HGNC
RNASE2	HGNC
RNASE3	HGNC
RPL6	HGNC
SERPINB1	HGNC
SERPINB13	HGNC
SERPINB2	HGNC
SLC44A1	HGNC
SLC7A6	HGNC
TMEM50A	HGNC
VCAN	HGNC
ZNF185	HGNC
LDHD	HGNC
EIF3A	HGNC
EIF4A2	HGNC
EIF4E	HGNC
IFNA1	HGNC
IFIT1B	HGNC
IFIT2	HGNC
IFIT3	HGNC
IFIT5	HGNC
TTC1	HGNC
ABCC8	HGNC
SIGMAR1	HGNC
CUBN	HGNC
SLC13A3	HGNC
SLC22A8	HGNC
EGFR	HGNC
EPS8	HGNC
OCLN	HGNC
CLDN1	HGNC
CLDN7	HGNC
MAP1LC3B	HGNC
VIPR1	HGNC
DSCAM	HGNC
SIDT1	HGNC
SRC	HGNC
AGO1	HGNC
AGO2	HGNC
DICER1	HGNC
DROSHA	HGNC
HOXB4	HGNC
HOXB5	HGNC
FOS	HGNC
CASP3	HGNC
DNASE1	HGNC
RHO	HGNC
SLC6A3	HGNC
IL1RN	HGNC
IL1R1	HGNC
IL10	HGNC
TNF	HGNC
CXCL8	HGNC
CSF2	HGNC
CDK4	HGNC
CDK6	HGNC
EGF	HGNC
IL2	HGNC
IL2RA	HGNC
IL4	HGNC
TGFA	HGNC
RAG1	HGNC
RNASEL	HGNC
CCR5	HGNC
PNMA3	HGNC
PNMA5	HGNC
PEG10	HGNC
PER2	HGNC
CCL2	HGNC
CD274	HGNC
CD63	HGNC
TIRAP	HGNC
CAV1	HGNC
CAV2	HGNC
C3	HGNC
C5	HGNC
CGAS	HGNC
EEA1	HGNC
IL12A	HGNC
LAMP1	HGNC
TLR4	HGNC
TICAM2	HGNC
CTNNB1	HGNC
SARS2	HGNC
CCL20	HGNC
IL17A	HGNC
IL5	HGNC
IL7	HGNC
IL9	HGNC
TGFB1	HGNC
AP2M1	HGNC
PPBPL1	HGNC
VTI1B	HGNC
DLG4	HGNC
SDCBP	HGNC
TJP1	HGNC
GC	HGNC
HR	HGNC
RBM39	HGNC
TAF7	HGNC
CPSF4	HGNC
CPSF6	HGNC
HNRNPK	HGNC
NCL	HGNC
NPM1	HGNC
NUDT21	HGNC
PUF60	HGNC
PRPF4	HGNC
RNASE1	HGNC
CORIN	HGNC
HPN	HGNC
HMBS	HGNC
KLK1	HGNC
KLKB1	HGNC
KLK10	HGNC
KLK11	HGNC
KLK12	HGNC
KLK13	HGNC
KLK14	HGNC
KLK15	HGNC
KLK2	HGNC
KLK3	HGNC
KLK4	HGNC
KLK5	HGNC
KLK6	HGNC
KLK7	HGNC
KLK8	HGNC
KLK9	HGNC
ST14	HGNC
TMPRSS11A	HGNC
TMPRSS11B	HGNC
TMPRSS11D	HGNC
TMPRSS11E	HGNC
TMPRSS11F	HGNC
TMPRSS12	HGNC
TMPRSS13	HGNC
TMPRSS15	HGNC
TMPRSS3	HGNC
TMPRSS4	HGNC
TMPRSS5	HGNC
TMPRSS6	HGNC
TMPRSS7	HGNC
TMPRSS9	HGNC
ABCA7	HGNC
CD33	HGNC
NAIP	HGNC
NLRP1	HGNC
NLRP3	HGNC
S100A11	HGNC
S100A12	HGNC
S100A4	HGNC
S100A8	HGNC
S100A9	HGNC
S100B	HGNC
AGER	HGNC
CHI3L1	HGNC
CHI3L2	HGNC
ESR1	HGNC
LGALS3	HGNC
MRC1	HGNC
NECTIN2	HGNC
PVR	HGNC
RELN	HGNC
RARRES2	HGNC
RARRES3	HGNC
TLR2	HGNC
PPP1CA	HGNC
IGHD3-10	HGNC
IGHJ6	HGNC
IGHV5-51	HGNC
IGKJ2	HGNC
IGKV4-1	HGNC
LEP	HGNC
XRN1	HGNC
TAF10	HGNC
NUP133	HGNC
BACE1	HGNC
LSM1	HGNC
RNMT	HGNC
RNGTT	HGNC
ACTG1	HGNC
DCPS	HGNC
DCP2	HGNC
H6PD	HGNC
METTL1	HGNC
MTTER	HGNC
OLIG2	HGNC
RNH1	HGNC
TPI1	HGNC
EIF4A1	HGNC
EIF4B	HGNC
PRDX2	HGNC
PRAME	HGNC
BUB3	HGNC
DSN1	HGNC
NDC80	HGNC
CENPC	HGNC
DCTN1	HGNC
INCENP	HGNC
KNL1	HGNC
PLK1	HGNC
SPDL1	HGNC
ZW10	HGNC
CNGB3	HGNC
NCALD	HGNC
UNG	HGNC
APOBEC1	HGNC
APOBEC3A	HGNC
UCN	HGNC
CCL7	HGNC
CCR7	HGNC
CX3CR1	HGNC
CD74	HGNC
TOP2A	HGNC
ARHGAP42	HGNC
CSF1R	HGNC
CCNA2	HGNC
CCNB2	HGNC
IL7R	HGNC
MKI67	HGNC
NKG7	HGNC
NFKB1	HGNC
P2RY12	HGNC
TMEM119	HGNC
TREM2	HGNC
SP1	HGNC
MIP	HGNC
MDM2	HGNC
DUX4	HGNC
FGF2	HGNC
ITGA7	HGNC
PAX3	HGNC
PAX7	HGNC
PDGFRA	HGNC
SMCHD1	HGNC
TRIM24	HGNC
TXLNA	HGNC
CASD1	HGNC
CD22	HGNC
CD44	HGNC
CD93	HGNC
FCGR2A	HGNC
FCGR2B	HGNC
CR2	HGNC
DMBT1	HGNC
GYPA	HGNC
SELL	HGNC
SPN	HGNC
KIT	HGNC
CARS	HGNC
CARS2	HGNC
ENO2	HGNC
IDS	HGNC
SHH	HGNC
MAVS	HGNC
ENDOU	HGNC
ECM1	HGNC
NPC1	HGNC
RAB7A	HGNC
BST2	HGNC
ERVK-5	HGNC
ERVK-6	HGNC
SERINC3	HGNC
SERINC5	HGNC
VAPB	HGNC
CDKN1B	HGNC
ZFYVE9	HGNC
ZNF593	HGNC
XRN2	HGNC
H3F3C	HGNC
SETD1A	HGNC
SUPT5H	HGNC
SMARCA2	HGNC
SMARCA4	HGNC
TOX4	HGNC
WDR82	HGNC
WDR83	HGNC
WDR89	HGNC
CPSF3	HGNC
NDE1	HGNC
PROC	HGNC
PRMT5	HGNC
PPP1R10	HGNC
PPP1R8	HGNC
PPP1R9B	HGNC
SPTLC2	HGNC
RB1	HGNC
METTL3	HGNC
AGBL1	HGNC
PSIP1	HGNC
OMP	HGNC
SPP1	HGNC
KRAS	HGNC
MUT	HGNC
SENP3	HGNC
PRSS3	HGNC
SPINT1	HGNC
SPINT2	HGNC
SPINT3	HGNC
ATP1A2	HGNC
RAPGEF6	HGNC
COQ3	HGNC
GABRA2	HGNC
GABRA5	HGNC
GABRB1	HGNC
GABRG1	HGNC
IGSF8	HGNC
KCNJ10	HGNC
PTPRR	HGNC
SLAMF1	HGNC
NKAIN3	HGNC
CAT	HGNC
MUC5AC	HGNC
CD151	HGNC
HLA-C	HGNC
HLA-DRB1	HGNC
F8	HGNC
RNASEH1	HGNC
RNASEH2A	HGNC
RNASEH2B	HGNC
RNASEH2C	HGNC
ANGPT1	HGNC
ACE	HGNC
EPCAM	HGNC
MOB1A	HGNC
IRF3	HGNC
SGMS1	HGNC
CP	HGNC
UNC50	HGNC
GAN	HGNC
HBG2	HGNC
CD247	HGNC
CR1	HGNC
MED25	HGNC
LARP1	HGNC
C19ORF66	HGNC
GADD45A	HGNC
GADD45B	HGNC
SEPT1	HGNC
GAL	HGNC
JAK1	HGNC
JAK2	HGNC
IL33	HGNC
CACNA1A	HGNC
CACNA1D	HGNC
DLX4	HGNC
CD82	HGNC
NPPB	HGNC
ABL1	HGNC
ABL2	HGNC
FOXJ1	HGNC
SCGB1A1	HGNC
ISL2	HGNC
LGR5	HGNC
BAX	HGNC
BCL2	HGNC
EEF2	HGNC
HMGB1	HGNC
HMGB2	HGNC
EZR	HGNC
ENPEP	HGNC
ATP2B3	HGNC
ESX1	HGNC
GATA1	HGNC
NBR1	HGNC
PIF1	HGNC
RAD21	HGNC
SUPT16H	HGNC
SPTY2D1	HGNC
UPF1	HGNC
AK2	HGNC
AMBP	HGNC
GBF1	HGNC
