# Use tab as separator, start a row with '#' for comments
# gene ID	# source ID (optional, all are used if missing)
GSBRNA2T00134135001	
GSBRNA2T00134499001	
GSBRNA2T00111826001	
GSBRNA2T00111755001	
GSBRNA2T00112099001	
GSBRNA2T00042221001	
GSBRNA2T00017536001	
GSBRNA2T00089961001	
GSBRNA2T00114447001	
GSBRNA2T00114639001	
GSBRNA2T00056384001	
GSBRNA2T00149486001	
GSBRNA2T00063993001	
GSBRNA2T00110218001	
GSBRNA2T00131240001	
GSBRNA2T00130387001	
GSBRNA2T00131109001	
GSBRNA2T00097830001	
GSBRNA2T00082732001	
GSBRNA2T00129649001	
GSBRNA2T00129941001	
GSBRNA2T00085954001	
GSBRNA2T00119622001	
GSBRNA2T00009878001	
GSBRNA2T00117382001	
GSBRNA2T00122168001	
GSBRNA2T00136147001	
GSBRNA2T00136114001	
GSBRNA2T00135898001	
GSBRNA2T00136220001	
GSBRNA2T00136145001	
GSBRNA2T00131836001	
GSBRNA2T00067211001	
GSBRNA2T00067440001	
GSBRNA2T00156311001	
GSBRNA2T00118698001	
GSBRNA2T00058099001	
GSBRNA2T00049165001	
GSBRNA2T00132697001	
GSBRNA2T00011323001	
GSBRNA2T00127015001	
GSBRNA2T00095195001	
GSBRNA2T00154490001	
GSBRNA2T00114120001	
GSBRNA2T00114056001	
GSBRNA2T00000330001	
GSBRNA2T00000390001	
GSBRNA2T00035712001	
GSBRNA2T00026045001	
GSBRNA2T00066419001	
GSBRNA2T00131396001	
GSBRNA2T00081743001	
GSBRNA2T00080952001	
GSBRNA2T00078779001	
GSBRNA2T00113350001	
GSBRNA2T00087919001	
GSBRNA2T00049471001	
GSBRNA2T00002263001	
GSBRNA2T00141977001	
GSBRNA2T00133170001	
GSBRNA2T00154098001	
GSBRNA2T00043000001	
GSBRNA2T00002721001	
GSBRNA2T00066333001	
GSBRNA2T00038341001	
GSBRNA2T00105272001	
GSBRNA2T00105315001	
GSBRNA2T00009609001	
GSBRNA2T00009440001	
GSBRNA2T00155291001	
GSBRNA2T00074333001	
GSBRNA2T00103947001	
GSBRNA2T00058697001	
GSBRNA2T00011400001	
GSBRNA2T00009383001	
GSBRNA2T00009382001	
GSBRNA2T00091082001	
GSBRNA2T00015154001	
